name,city,iata_code,icao,latitude,longitude,url,city_code,country,state,county
Gurupi,,GRP,SWGI,-11.666667,-49.216667,,GRP,BR,,
Eelde Airport,Vries,GRQ,EHGG,53.1214959,6.581723234492909,,GRQ,NL,Drenthe,Gemeente Tynaarlo
Gerald R. Ford International Airport,Forest Hills,GRR,KGRR,42.876614700000005,-85.53488239724246,http://www.grr.org/,GRR,US,Michigan,Kent County
Baccarini,Grosseto,GRS,LIRS,42.761944,11.070556,,GRS,IT,Tuscany,Provincia di Grosseto
Gujrat,Lala Musa,GRT,,32.666668,74.03333,,GRT,PK,Punjab,
Sao Paulo-Guarulhos International Airport,Guarulhos,GRU,SBGR,-23.43779495,-46.481320528800595,http://www.infraero.gov.br/,SAO,BR,Sao Paulo,Guarulhos
Groznyy Airport,Staraya Sunzha,GRV,URMG,43.333332,45.75,,GRV,RU,Chechnya,
Graciosa Island Airport,Lagoa,GRW,LPGR,39.090954,-28.027958,,GRW,PT,Azores,Santa Cruz da Graciosa
Granada Airport,Chauchina,GRX,LEGR,37.186798749999994,-3.7773012289734282,,GRX,ES,Andalusia,Provincia de Granada
Grimsey,Dalvik,GRY,BIGR,66.54678075,-18.017508841990626,,GRY,IS,Northeast,
Graz Airport,Feldkirchen bei Graz,GRZ,LOWG,46.98874805,15.440023285611247,http://www.flughafen-graz.at/,GRZ,AT,Styria,Politischer Bezirk Graz-Umgebung
Long Pasia,Kayan Hulu,GSA,WBKN,4.4090966,115.7247525,,GSA,MY,North Kalimantan,
Seymour Johnson AFB,Goldsboro,GSB,KGSB,35.38333,-77.98333,http://www.seymourjohnson.af.mil/,GSB,US,North Carolina,Wayne County
Gascoyne Junction,,GSC,YGSC,-25.166668,115.25,,GSC,AU,,
Gothenburg City Airport,Majorna,GSE,ESGP,57.77775,11.864513,https://www.saveflygplats.com/,GOT,SE,Vaestra Goetaland,Goteborg
Goshen,Goshen,GSH,KGSH,41.583332,-85.833336,http://www.goshenindiana.org/content/goshen-municipal-airport,GSH,US,Indiana,Elkhart County
Guadalcanal,,GSI,SOGS,-9.533333,160.2,,GSI,SB,,
Puerto San Jose,Puerto San Jose,GSJ,MGSJ,13.93653185,-90.83299202518783,,GSJ,GT,Escuintla,
